company_name,productivity_change_pct,employees_impacted
"Holmes, Bishop and Stevens Pvt. Ltd.",23.482654177274583,225
Wagner-Cannon Pvt. Ltd.,91.19446852058414,373
"Williams, Johnson and Wright Pvt. Ltd.",36.71972973520581,371
House-Bailey Pvt. Ltd.,3.4388410143991965,653
"Lloyd, Ross and Davis Pvt. Ltd.",98.41423662141202,429
Jensen-Sanchez Pvt. Ltd.,57.91354247990505,172
"Moore, Bruce and Miller Pvt. Ltd.",82.25215585533233,654
"Moore, Ramos and Graham Pvt. Ltd.",38.74068665200514,720
"Bridges, Perry and Brown Pvt. Ltd.",15.161967239244255,737
"Perez, Moore and Jackson Pvt. Ltd.",7.639064346395119,160
"Ramirez, Watson and Long Pvt. Ltd.",14.519591845892243,924
"Chambers, Vance and Morgan Pvt. Ltd.",53.362369472204406,841
"Garcia, Hutchinson and Green Pvt. Ltd.",66.46591693520519,670
"Figueroa, Joyce and Mercer Pvt. Ltd.",94.47532036410692,279
Miller-Lewis Pvt. Ltd.,61.332092615493785,810
Krause-Meadows Pvt. Ltd.,26.16023435084729,351
"Lewis, Nguyen and Becker Pvt. Ltd.",57.06033767471439,345
"Lopez, Travis and Hull Pvt. Ltd.",69.58575777295565,868
Roberts-Hawkins Pvt. Ltd.,21.234247788157333,318
"Murray, Oliver and Mays Pvt. Ltd.",82.52358721336985,997
Watson-Henderson Pvt. Ltd.,38.24436380642264,207
"Perez, Ramsey and Sherman Pvt. Ltd.",19.57723533452833,817
Caldwell-Golden Pvt. Ltd.,64.21005324295294,653
"Callahan, Arnold and Caldwell Pvt. Ltd.",86.42994606300316,530
"Martinez, Herman and White Pvt. Ltd.",57.50884482519892,194
Wood-Gomez Pvt. Ltd.,42.65965396608805,401
"Baker, Cook and Lee Pvt. Ltd.",50.63093865859566,611
"Hall, Barker and Bell Pvt. Ltd.",81.65291308789891,310
Roberson-Santos Pvt. Ltd.,37.0310920497554,920
Simmons-Haley Pvt. Ltd.,99.19528827230624,671
"Wilcox, Patrick and Andrade Pvt. Ltd.",35.31654887408154,561
Torres-Austin Pvt. Ltd.,75.42298359869196,622
"Fischer, Jenkins and Klein Pvt. Ltd.",97.44069959361876,655
Roberts-Thomas Pvt. Ltd.,38.685274871382845,161
House-Mccormick Pvt. Ltd.,41.28879030790278,151
"Williams, Hickman and James Pvt. Ltd.",65.38983793776372,618
"Martin, Baldwin and Roberts Pvt. Ltd.",64.66107937866855,783
"Johns, Morse and Roberts Pvt. Ltd.",6.816409503494492,419
Newman-Carney Pvt. Ltd.,74.04798934737649,275
"Meadows, Johnson and Hernandez Pvt. Ltd.",38.6591979006738,557
Kelly Inc Pvt. Ltd.,90.8141476157021,734
"Washington, Arellano and Allen Pvt. Ltd.",68.78507191467133,844
"Ball, Buchanan and Acevedo Pvt. Ltd.",40.08904881998922,674
Berry-Small Pvt. Ltd.,45.1009999574327,239
"Russell, Price and Clark Pvt. Ltd.",86.92877206887576,167
"Martin, Mcpherson and Holloway Pvt. Ltd.",77.37385364303138,969
Everett Group Pvt. Ltd.,79.21357519015147,635
Willis-Jordan Pvt. Ltd.,41.92289432769242,210
Sanchez and Sons Pvt. Ltd.,21.172654108936083,898
"Todd, Huff and Young Pvt. Ltd.",71.47630782514918,612
Robertson-Munoz Pvt. Ltd.,24.03892159687461,598
Lamb-Huang Pvt. Ltd.,85.25120788990915,839
"Owens, Osborne and Mcintyre Pvt. Ltd.",12.32227301702422,621
Shah-Carroll Pvt. Ltd.,79.36654002587777,518
"Williams, Gonzales and Thomas Pvt. Ltd.",24.8212328126827,622
"Rogers, Porter and Neal Pvt. Ltd.",78.83317613056735,413
Rice-Hess Pvt. Ltd.,38.49042433432712,871
Mcclain-Ford Pvt. Ltd.,69.62886027029718,670
"Watts, Valdez and Madden Pvt. Ltd.",6.25336219305831,633
Brown-Gamble Pvt. Ltd.,8.533875830613113,858
"Mcgee, Bell and Mitchell Pvt. Ltd.",68.77306622939908,795
"Richardson, Wall and Abbott Pvt. Ltd.",52.23725693062686,230
Reeves-Williams Pvt. Ltd.,0.619834963809085,562
Cross-Jacobs Pvt. Ltd.,64.18140345108395,856
"Fernandez, Freeman and Steele Pvt. Ltd.",16.126631573728247,449
Jordan-Jackson Pvt. Ltd.,42.234672849812085,778
Gomez-Logan Pvt. Ltd.,8.45549492785148,595
Suarez-Colon Pvt. Ltd.,32.96953939514983,282
"Johnson, Brooks and Morales Pvt. Ltd.",71.96063547851284,482
"Odom, Bryan and Black Pvt. Ltd.",91.34325433015802,974
"Morales, Bautista and Mathis Pvt. Ltd.",26.621751098163703,221
Collins-Payne Pvt. Ltd.,90.3386298637936,371
"Hall, Moore and Jackson Pvt. Ltd.",87.5574969169404,492
Orozco PLC Pvt. Ltd.,93.39511700526664,988
Decker-Mason Pvt. Ltd.,16.55664424584288,824
"Schwartz, Johnson and Hamilton Pvt. Ltd.",84.76853217299947,916
"Lutz, Tucker and Wong Pvt. Ltd.",8.939716224089079,725
"Bennett, Perry and Johnson Pvt. Ltd.",8.363584626565856,949
Gordon-Lane Pvt. Ltd.,18.08757605001605,698
"Clark, Greene and Garcia Pvt. Ltd.",24.79105984763067,181
"Massey, Bennett and Harris Pvt. Ltd.",76.38962803353154,436
"Jenkins, Gonzalez and Bird Pvt. Ltd.",43.793526959359866,302
"Bradshaw, Golden and Gardner Pvt. Ltd.",15.128893701521465,490
Todd-Farmer Pvt. Ltd.,62.76598750748784,710
"Mcpherson, Daniel and Fischer Pvt. Ltd.",42.13294451805369,913
